text,category,query_length,label
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival,69,12
How can I check on the delivery status of my card?,card_arrival,50,12
"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival,86,12
What's the expected wait time to recieve my new card?,card_arrival,53,12
How can I see the progress of delivery of the card that was sent?,card_arrival,65,12
"My card was supposed to arrive, but hasn't?",card_arrival,43,12
I ordered a card and would like to know how to track the delivery progress of it.,card_arrival,81,12
How long will it take for me to get my card?,card_arrival,44,12
My card hasn't shown up yet.,card_arrival,28,12
Does the card you sent have a tracking number?,card_arrival,46,12
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival,82,12
maximum how many days get the courier?,card_arrival,38,12
Is there a reason my new card hasn't arrived yet?,card_arrival,49,12
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,82,12
How can I track my card's delivery?,card_arrival,35,12
Can I track the card that was just sent to me?,card_arrival,46,12
"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival,80,12
"What's go on, where is my new card?",card_arrival,35,12
Where is my new card if I haven't received it yet?,card_arrival,50,12
Where is my card?,card_arrival,17,12
Can you tell me why I haven't received my new card yet?,card_arrival,55,12
Is there a way to track my card?,card_arrival,32,12
Is there a way to track the new card you sent me?,card_arrival,49,12
I'm still waiting for my card.,card_arrival,30,12
What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival,75,12
WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival,36,12
Could I get tracking on the card?,card_arrival,33,12
Can you help me track my card?,card_arrival,30,12
Shouldn't my new card be here by now?,card_arrival,37,12
Is there a reason my new card hasn't arrived?,card_arrival,45,12
"I would like to track a card sent to me, how do I do that?",card_arrival,58,12
Is there a tracking number for the card?,card_arrival,40,12
can you share card tracking number?,card_arrival,35,12
"I have not received my card and it's been a week, what do I do?",card_arrival,63,12
Is there a way I can check on the card on route to me?,card_arrival,54,12
When will my new card arrive?,card_arrival,29,12
Why haven't I received my new card yet?,card_arrival,39,12
What is the expected delivery date of my card?,card_arrival,46,12
My card hasn't came in the mail yet?,card_arrival,36,12
I haven't received my card.,card_arrival,27,12
Is it possible for me to track the card is was mailed to me?,card_arrival,60,12
When will my new card be delivered?,card_arrival,35,12
I was issued a card about a week ago. why hasn't it come in yet?,card_arrival,64,12
Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival,66,12
I still haven't received my card in the mail,card_arrival,44,12
I'm still waiting for my card that was issued a week ago. What should I do?,card_arrival,75,12
I still haven't gotten my new card.  When will it get here?,card_arrival,59,12
Do you have a tracking number for the card I was sent?,card_arrival,54,12
How do I track the card you sent to me?,card_arrival,39,12
Is my new bank card on the way and is there a way to track it?,card_arrival,62,12
Could you send me and up date on the arrival of my card?,card_arrival,56,12
How long does it take to recieve my new card?,card_arrival,45,12
My card has not come in the mail yet.,card_arrival,37,12
What's the card you sent me's tracking number?,card_arrival,46,12
i havent got my card,card_arrival,20,12
Why hasn't my card arrived yet?,card_arrival,31,12
I thought I would have received my new card at this point.,card_arrival,58,12
How long until my new card gets here?,card_arrival,37,12
How much longer until I get my new card?,card_arrival,40,12
Am I able to track a card that has already been sent?,card_arrival,53,12
Is it possible to track the card you sent me?,card_arrival,45,12
How long will it be to get this new card?,card_arrival,41,12
how can i track card you sent,card_arrival,29,12
Can the card was sen to me be tracked?,card_arrival,38,12
why have i not got my new card?,card_arrival,31,12
I need to track the card sent to me.,card_arrival,36,12
"It's been two weeks and I haven't gotten my card, what do I do?",card_arrival,63,12
I was expecting my new card by now.,card_arrival,35,12
Where is the tracking number for the card?,card_arrival,42,12
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,card_arrival,105,12
Can I track the card that you sent me in the mail?,card_arrival,50,12
Can you tell me if I can track the card you sent me?,card_arrival,52,12
Why have I not gotten my new card?,card_arrival,34,12
I'm still waiting on my new card to be delivered!,card_arrival,49,12
My new card isn't here and it was issued a week ago.,card_arrival,52,12
"I was supposed to receive my new card by now, but it hasn't came in.",card_arrival,68,12
Is a tracking number available for the card that was just sent?,card_arrival,63,12
Why haven't I gotten my new card?,card_arrival,33,12
Was there a number to track that I could get?,card_arrival,45,12
How much longer is it going to take to get my new card?,card_arrival,55,12
I haven't gotten my credit card in the mail.,card_arrival,44,12
My card hasn't arrived yet. What do I do?,card_arrival,41,12
"My card still hasn't arrived after two weeks, now what?",card_arrival,55,12
My card appears to have never arrived?,card_arrival,38,12
My card never arrived.,card_arrival,22,12
My card has been found. Is there any way for me to put it back into the app?,card_linking,76,14
I was able to find my card. How to I go about putting it into my app?,card_linking,69,14
how do I get my card to show in the app?,card_linking,40,14
I just got my card.  It's not linked yet--how do I do that?,card_linking,59,14
"lost card found, want to put it back in app",card_linking,43,14
"I just got a card, how can I add it to the app?",card_linking,47,14
Is there any way to see my card in the app?,card_linking,43,14
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,card_linking,103,14
I found my card. How can I put it into my app?,card_linking,46,14
How do I make my card show up in the app?,card_linking,41,14
Can you show me where to link the new card?,card_linking,43,14
I found my old card. Can I link it back into the app?,card_linking,53,14
"Show me how to link the new card,",card_linking,33,14
How do I add an existing card to the app?,card_linking,41,14
I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,card_linking,98,14
How do I link one of your card that I already have?,card_linking,51,14
If I have a physical card can I link it?,card_linking,40,14
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,card_linking,90,14
Can I add a card that I just found (again) to the app?,card_linking,54,14
How can I make my card show up in the app?,card_linking,42,14
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",card_linking,98,14
"Okay, I found my card, can I put it back in the app?",card_linking,52,14
Can I reactivate a card?,card_linking,24,14
I would like to reactivate a card and wondered if that could be done?,card_linking,69,14
"I got my card now, how do I make it show up in the app?",card_linking,55,14
How do I link an existing card?,card_linking,31,14
How do I link a new card in the app?,card_linking,36,14
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",card_linking,104,14
I already have a card and want to link it,card_linking,41,14
Can you please reactivate my card?,card_linking,34,14
Where do I go to add a new card?,card_linking,32,14
I want my card I just received to show up in the app. How do I do that?,card_linking,71,14
"I received my card, how do I get it to show in the app?",card_linking,55,14
If I have a credit card with you how I get set up to link to it?,card_linking,64,14
How do I add my new card?,card_linking,25,14
"I want to reactivate my card, I thought I had lost it but found it again this morning.",card_linking,86,14
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",card_linking,89,14
My card is no longer lost. How do I enter it back into the app?,card_linking,63,14
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",card_linking,86,14
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",card_linking,94,14
How do I reactivate a card I thought I lost?,card_linking,44,14
Help me figure out how to link the new card.,card_linking,44,14
I found my lost card. Am I still able to use it?,card_linking,48,14
Will I need a new card or can I put my old card back into the app?,card_linking,66,14
Is there a way to link the card i just got?,card_linking,43,14
How do I add a new card?,card_linking,24,14
"I want to reactivate my card, I found it after thinking it was lost.",card_linking,68,14
Can I put my old card back in the app?,card_linking,38,14
"I got a new card, how do I link it?",card_linking,35,14
I found the card I thought I lost this morning. Can I reactivate this card?,card_linking,75,14
How do i go about linking a new card?,card_linking,37,14
how do i get the card linked,card_linking,28,14
"I have one of your cards, but I don't know how to link it.",card_linking,58,14
how do I link an old card?,card_linking,26,14
I received my card. How do I link it to the app?,card_linking,48,14
"Now that I have my card, how do I connect it to the app?",card_linking,56,14
How do I add the card I just received to show up in the app?,card_linking,60,14
"I want to reactivate my card, I thought I had lost it but I found it.",card_linking,69,14
What do I need to do to link my new card for my account?,card_linking,56,14
Can I add a card to back into the app?,card_linking,38,14
I want to link my new card. Can you help?,card_linking,41,14
What is the process to link the new card?,card_linking,41,14
"I found my card, am I able to put it back into the app?",card_linking,55,14
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",card_linking,148,14
Where can I link a new card?,card_linking,28,14
How do I add a card on to the app?,card_linking,34,14
"I found my card in my jacket this morning, so can I reactivate it?",card_linking,66,14
"I've obtained the card, how do I enable it on the app?",card_linking,54,14
I need to find the card I received in the app.,card_linking,46,14
How do I get my card on the app?,card_linking,32,14
"In the app, how can I make it show the new card that arrived?",card_linking,61,14
How do I link my new card?,card_linking,26,14
Can I activate a card in the app?,card_linking,33,14
"I want to link to my card card with you, how?",card_linking,45,14
I would like to link my card to my account.,card_linking,43,14
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",card_linking,123,14
How can I link the new card?,card_linking,28,14
I got a new card and can't find where to link it.,card_linking,49,14
"Hey, I have my card, how do I get it to show in the app?",card_linking,56,14
Where in the app do I go to make my new card show up?,card_linking,53,14
Where do I scan my card?,card_linking,24,14
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,card_linking,84,14
Can I link my card I previously received?,card_linking,41,14
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",card_linking,99,14
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",card_linking,123,14
You sent me a card and now I want to link it.,card_linking,45,14
How do I add my new card to the app?,card_linking,36,14
Can I add a card back to the app?,card_linking,33,14
What if I want to add a card I already have to the app?,card_linking,55,14
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",card_linking,85,14
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",card_linking,98,14
Is there a way to link cards if I have one of yours?,card_linking,52,14
If my card was lost or stolen can I re-link it?,card_linking,47,14
How do I link a new card to an existing one?,card_linking,44,14
How do I link a new payment card?,card_linking,33,14
I would like to reactivate my card that I previously reported lost. I located the card this morning.,card_linking,100,14
"Card has been received, how will it show up on the app?",card_linking,55,14
Can I re-link a lost card with the app?,card_linking,39,14
What do I do to link my new card?,card_linking,33,14
Is it possible to link a new card?,card_linking,34,14
I deactivated my card but would like to reactivate it.,card_linking,54,14
"I found my card that I thought I had lost, I need to reactive it, please help.",card_linking,78,14
can I link a card of yours I already have?,card_linking,42,14
Can I put my found card back into the app on my phone?,card_linking,54,14
"My card arrived but I need to make it work in the app, how do I do that?",card_linking,72,14
"I found the card that I thought I lost, and I would like to reactivate it.",card_linking,74,14
I found my card again. Can I put it back into the app?,card_linking,54,14
I need some help linking my new card.,card_linking,37,14
help me link my card,card_linking,20,14
How do I link my card in the app.,card_linking,33,14
How do I get my card into the app?,card_linking,34,14
I found my card! Can I link it back into the app?,card_linking,49,14
How do I reactivate my card?,card_linking,28,14
Where do I go to get my new card linked?,card_linking,40,14
"I thought I lost my card but I found it today, so I would like to reactivate it.",card_linking,80,14
How do I link the new card that I just got from you guys?,card_linking,57,14
How can I add a new card?,card_linking,25,14
Can you tell me how to get my card on the app?,card_linking,46,14
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,card_linking,91,14
How do I make my card appear on the app?,card_linking,40,14
How do I link the new card?,card_linking,27,14
Where in the app do I link a new card?,card_linking,38,14
How do I add my card to the app once I get it?,card_linking,46,14
Can I link your physical card,card_linking,29,14
How do I activate and link my new card?,card_linking,39,14
"I got a card, how do I get it in the app?",card_linking,41,14
I received my new card.  Where is it in the app?,card_linking,48,14
"I found my card, how can I use it again?",card_linking,40,14
"I just received a new card, where do I go to link it to my account?",card_linking,67,14
"found card, how to put it back in app",card_linking,37,14
How do I see my card in the app?,card_linking,32,14
"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",card_linking,89,14
I don't see my card anywhere in the app.,card_linking,40,14
"I received my card, how do I get it to work in the app?",card_linking,55,14
What do I do if I already had a card with you guys?,card_linking,51,14
if i found a lost card can i put it back in app,card_linking,47,14
I have a card that was deactivated can I reactivate it?,card_linking,55,14
"My new card isn't in my app, how do I get it in there?",card_linking,54,14
Help me access the card I already got so I can information from it.,card_linking,67,14
What is my money worth in other countries?,exchange_rate,42,33
Will my money be of equal value when I travel abroad?,exchange_rate,53,33
Do you know the rate of exchange?,exchange_rate,33,33
What foreign exchange rate will I get on weekdays and on the weekends?,exchange_rate,70,33
What is the exchange looking like?,exchange_rate,34,33
How is the exchange rate doing?,exchange_rate,31,33
I would like to know how exchange rates are calculated when transferring funds.,exchange_rate,79,33
I would like to know what exchange rates you use?,exchange_rate,49,33
"If I need to cash foreign transfers, how does that work?",exchange_rate,56,33
Do you know what your exchange rates are?,exchange_rate,41,33
How do I know what exchange rate I will get?,exchange_rate,44,33
What are you exchange rates?,exchange_rate,28,33
Do you have the best exchange rate?,exchange_rate,35,33
Where can I find your exchange rates?,exchange_rate,37,33
Your exchange rates come from where?,exchange_rate,36,33
I need to know what your exchange rates are.,exchange_rate,44,33
What's the process for exchanges?,exchange_rate,33,33
What do you think of the exchange rate?,exchange_rate,39,33
How are exchange rates calculated at this bank?,exchange_rate,47,33
What do you use to figure out the exchange rate for the card?,exchange_rate,61,33
What's the foreign exchange rate I will receive?,exchange_rate,48,33
I need to know what foreign exchange rate I can get.,exchange_rate,52,33
What are the current exchange rates?,exchange_rate,36,33
What exchange rate will I receive?,exchange_rate,34,33
What is the basis of your exchange rates?,exchange_rate,41,33
How's the exchange rate?,exchange_rate,24,33
How do you determine your exchange rates?,exchange_rate,41,33
How do the foreign exchange rates work?,exchange_rate,39,33
Where are you getting your exchange rates from?,exchange_rate,47,33
How is the exchange rate calculated?,exchange_rate,36,33
I'm interested in what your exchange rates are based on.,exchange_rate,56,33
How do you decide what the exchange rates are?,exchange_rate,46,33
What is the current exchange rate?,exchange_rate,34,33
What is the formula for your exchange rate?,exchange_rate,43,33
What method do you use for the exchange rate?,exchange_rate,45,33
What are Interbanks current exchange rates?,exchange_rate,43,33
from where are coming your exchange rates?,exchange_rate,42,33
How do you calculate exchange rates?,exchange_rate,36,33
Why is your exchange rate different on different days?,exchange_rate,54,33
Where can I find the exchange rate for my transfer?,exchange_rate,51,33
Where can I get your exchange rates from?,exchange_rate,41,33
How do you find the exchange rate?,exchange_rate,34,33
How are exchange rates determined?,exchange_rate,34,33
What value can I get for my currency?,exchange_rate,37,33
Please explain your exchange rate policy.,exchange_rate,41,33
What are your exchange rates calculated from?,exchange_rate,45,33
What is an exchange rate?,exchange_rate,25,33
What is your opinion on the exchange rate?,exchange_rate,42,33
What are the exchange rates you assign?,exchange_rate,39,33
How do you determine exchange rates?,exchange_rate,36,33
How are your exchange rates calculated?,exchange_rate,39,33
How is an exchange rate calculated?,exchange_rate,35,33
"When exchanging, how much are the rates?",exchange_rate,40,33
What is the exchange rate for EUR?,exchange_rate,34,33
How can I find your exchange rates?,exchange_rate,35,33
Could you please tell me your exchange rates?,exchange_rate,45,33
Is there an exchange rate?,exchange_rate,26,33
How does the exchange rate work?,exchange_rate,32,33
What is the present state of the exchange rate?,exchange_rate,47,33
How are foreign exchange rates determined?,exchange_rate,42,33
How's the exchange rate looking right now?,exchange_rate,42,33
Please explain the exchange rates.,exchange_rate,34,33
What is the foreign exchange rate you will apply?,exchange_rate,49,33
explain the interbank exchange rate,exchange_rate,35,33
What will my exchange rate be?,exchange_rate,30,33
how do you get exchange rates,exchange_rate,29,33
What exchange rates do you use?,exchange_rate,31,33
How will I know what the exchange rate is?,exchange_rate,42,33
What factors effect the exchange rate?,exchange_rate,38,33
Where does the exchange rate stand right now?,exchange_rate,45,33
I'd like to know what the foreign exchange rate will be.,exchange_rate,56,33
Does the exchange rate change?,exchange_rate,30,33
How do your exchange rates factor in?,exchange_rate,37,33
Will I know which exchange rate I will get?,exchange_rate,43,33
How do I know what the exchange rate will be when I make an exchange.,exchange_rate,69,33
Is the exchange rate the same on weekends as the weekdays?,exchange_rate,58,33
How do you do exchanges?,exchange_rate,24,33
On what do you base your exchange rates?,exchange_rate,40,33
How do you come up with your exchange rate,exchange_rate,42,33
What factors determine your exchange rate?,exchange_rate,42,33
How are the exchange rates determined?,exchange_rate,38,33
I would like to know what your exchange rates are.,exchange_rate,50,33
Is the exchange rate current?,exchange_rate,29,33
What are the exchange rates?,exchange_rate,28,33
How much are the rates of exchange?,exchange_rate,35,33
How do you decide what your exchange rates are?,exchange_rate,47,33
Your exchange rates are coming from where?,exchange_rate,42,33
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,exchange_rate,105,33
How are the exchange rates for transfers calculated?,exchange_rate,52,33
How do I know how much money I will have when I travel abroad?,exchange_rate,62,33
How do you do currency exchanges?,exchange_rate,33,33
Can you explain your exchange rates basis?,exchange_rate,42,33
How did you guys get your exchange rate?,exchange_rate,40,33
Can you tell me your exchange rates?,exchange_rate,36,33
Could you tell me what your exchange rates are?,exchange_rate,47,33
Does this app have the same exchange rate as third parties?,exchange_rate,59,33
what are your exchange rates at?,exchange_rate,32,33
How is the current exchange rate?,exchange_rate,33,33
What is the system for determining the exchange rate?,exchange_rate,53,33
I am travelling and I was wondering what your exchange rates are,exchange_rate,64,33
How can I tell what foreign exchange rate I will get?,exchange_rate,53,33
Tell me your opinion on the exchange rate.,exchange_rate,42,33
I'd like to know what you guys look at to decide an exchange rate,exchange_rate,65,33
How does the exchange rate work on this app?,exchange_rate,44,33
where do you find your exchange rates?,exchange_rate,38,33
I want to know your exchange rates.,exchange_rate,35,33
What exchange rate is it?,exchange_rate,25,33
What is the source of your exchange rates?,exchange_rate,42,33
i need to know about exchange rates,exchange_rate,35,33
Where do you get those exchange rates?,exchange_rate,38,33
How do you determine the exchange rate?,exchange_rate,39,33
What foreign exchange rate will I get?,exchange_rate,38,33
"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",card_payment_wrong_exchange_rate,91,18
"Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?",card_payment_wrong_exchange_rate,155,18
I think the currency exchange that's been applied is wrong.,card_payment_wrong_exchange_rate,59,18
The exchange rate I was charged for a purchase was not right.,card_payment_wrong_exchange_rate,61,18
Can you please explain why the exchange rate for the item I bought is wrong?,card_payment_wrong_exchange_rate,76,18
I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,card_payment_wrong_exchange_rate,117,18
My payment has an incorrect exchange rate.,card_payment_wrong_exchange_rate,42,18
my exchange rate looks wrong for my last payment,card_payment_wrong_exchange_rate,48,18
The exchange rate you are using is bad.This can't be the official interbank exchange rate.,card_payment_wrong_exchange_rate,90,18
I was charged the wing amount for an item.,card_payment_wrong_exchange_rate,42,18
the exchange rate on my payment was wrong,card_payment_wrong_exchange_rate,41,18
Why is the exchange rate terrible?  That can't be close to the actual interbank rate.,card_payment_wrong_exchange_rate,85,18
An incorrect exchange rate was applied to an item I bought.,card_payment_wrong_exchange_rate,59,18
The exchange rate was incorrect for an item I bought.,card_payment_wrong_exchange_rate,53,18
The exchange rate on my payment doesn't look right,card_payment_wrong_exchange_rate,50,18
"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?",card_payment_wrong_exchange_rate,174,18
This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,card_payment_wrong_exchange_rate,115,18
After purchasing an item I noticed the exchange rate was incorrect.,card_payment_wrong_exchange_rate,67,18
The amount of exchange was not correct for the item i bought.,card_payment_wrong_exchange_rate,61,18
The exchange rate from my card payment isn't right.,card_payment_wrong_exchange_rate,51,18
My exchange rate isn't correct.,card_payment_wrong_exchange_rate,31,18
Why was the exchange rate so wrong when I bought something!,card_payment_wrong_exchange_rate,59,18
My exchange rate was wrong for an Item I bought!,card_payment_wrong_exchange_rate,48,18
I was using a foreign currecy to make a payment and the applied the wrong rate.,card_payment_wrong_exchange_rate,79,18
The exchange rate was incorrect for this item I bought.,card_payment_wrong_exchange_rate,55,18
I purchased something overseas and the incorrect exchange rate was applied.,card_payment_wrong_exchange_rate,75,18
The exchange rate is incorrect for my payment.,card_payment_wrong_exchange_rate,46,18
The item i bought exchanged rate was incorrect.,card_payment_wrong_exchange_rate,47,18
I'm on holiday and I noticed a different amount for exchange rate.  Can you explain?,card_payment_wrong_exchange_rate,84,18
I bought something in another country but the exchange rate is wrong,card_payment_wrong_exchange_rate,68,18
I bought an item and the exchange rate was wrong.,card_payment_wrong_exchange_rate,49,18
Exchange rate for my card payment is wrong,card_payment_wrong_exchange_rate,42,18
the exchange rate at which my card payment is at is wrong,card_payment_wrong_exchange_rate,57,18
There was a problem with the exchange rate on a purchase.,card_payment_wrong_exchange_rate,57,18
"I recently purchased something, and the exchange rate was wrong.",card_payment_wrong_exchange_rate,64,18
What if there is an error on the exchange rate?,card_payment_wrong_exchange_rate,47,18
Why is my exchange rate wrong?,card_payment_wrong_exchange_rate,30,18
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,card_payment_wrong_exchange_rate,110,18
I used foreign currency to buy something and I think the rate applied is incorrect.,card_payment_wrong_exchange_rate,83,18
This exchange rate on my purchase is wrong.,card_payment_wrong_exchange_rate,43,18
Why is your exchange rate so bad?,card_payment_wrong_exchange_rate,33,18
The exchange rate looks wrong on a holiday purchase,card_payment_wrong_exchange_rate,51,18
"I purchased something abroad, and the exchange rate that was applied was wrong.",card_payment_wrong_exchange_rate,79,18
I bought something and I take issue with the exchange rate applied.,card_payment_wrong_exchange_rate,67,18
I think there has been a mistake on my exchange rate for this purchase.,card_payment_wrong_exchange_rate,71,18
You did not give me the correct exchange rate for an item that I bought.,card_payment_wrong_exchange_rate,72,18
I checked on google and the exchange rate you are using is really bad. Can you update it?,card_payment_wrong_exchange_rate,89,18
"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong.",card_payment_wrong_exchange_rate,89,18
"In regards to my card payment, the exchange rate is incorrect.",card_payment_wrong_exchange_rate,62,18
I bough an item and the exchange rate was incorrect.,card_payment_wrong_exchange_rate,52,18
Why did you charge me more for my purchase? It was a foreign currency and you didn't offer market rate,card_payment_wrong_exchange_rate,102,18
I question today's exchange rate for rubles into pounds. I was hoping for a better return.,card_payment_wrong_exchange_rate,90,18
I feel as though I have been over charged for the exchange rate on my payment on last Saturday.,card_payment_wrong_exchange_rate,95,18
My currency rate is inaccurate.,card_payment_wrong_exchange_rate,31,18
The currency exchange rate was wrong for a purchase I made.,card_payment_wrong_exchange_rate,59,18
I purchased something abroad and the incorrect exchange rate was applied.,card_payment_wrong_exchange_rate,73,18
Your exchange rate was off.  I was charged extra on my payment that I made last Saturday.,card_payment_wrong_exchange_rate,89,18
I was charged the wrong exchange rate on a purchase,card_payment_wrong_exchange_rate,51,18
Can you change the rate for the item I bought in a different currency as it is wrong?,card_payment_wrong_exchange_rate,85,18
The currency exchange for my purchase in foreign currency is incorrect.,card_payment_wrong_exchange_rate,71,18
I noticed the currency exchange rate was incorrect after paying for something in a foreign country.,card_payment_wrong_exchange_rate,99,18
My foreign currency exchange has been applied incorrectly.,card_payment_wrong_exchange_rate,58,18
Why isn't my purchase exchange rate correct?,card_payment_wrong_exchange_rate,44,18
I noticed that the exchange rate applied to a recent purchase I made abroad was incorrect.,card_payment_wrong_exchange_rate,90,18
"I purchased something while traveling, and the exchange rate applied was wrong.",card_payment_wrong_exchange_rate,79,18
Why is the exchange rate different on my recent purchase?,card_payment_wrong_exchange_rate,57,18
The fee charged when I changed rubles into British pounds was too much.,card_payment_wrong_exchange_rate,71,18
I wasn't charged the correct exchange rate for an item I purchased.,card_payment_wrong_exchange_rate,67,18
Does the fee for exchange change?,card_payment_wrong_exchange_rate,33,18
The rate applied to my purchase in a foreign currency was wrong.,card_payment_wrong_exchange_rate,64,18
"I bought something while traveling, and the exchange rate was wrong.",card_payment_wrong_exchange_rate,68,18
something is wrong with my exchange rate charge,card_payment_wrong_exchange_rate,47,18
Seems like the exchange rate for my payment last Saturday was wrong. I was charged extra.,card_payment_wrong_exchange_rate,89,18
It seems that something went wrong with my exchange. I changed Russian Ruble into UK pounds but have been charged entirely too much!,card_payment_wrong_exchange_rate,132,18
I bought an item then noticed the exchange rate was wrong.,card_payment_wrong_exchange_rate,58,18
The exchange rate applied is wrong for my international purchase.,card_payment_wrong_exchange_rate,65,18
My card payment had the wrong exchange rate,card_payment_wrong_exchange_rate,43,18
They used the wrong rate when I made a purchase with foreign currency.,card_payment_wrong_exchange_rate,70,18
Does the exchange rate change each day for purchases? There is a different rate on my purchase.,card_payment_wrong_exchange_rate,95,18
